winloss,date,score,opponent,location,year,record,coach,conference
W,"Sat, October 15",24 - 14,Colorado St,"LaVell Edwards Stadium - Provo, UT",2005,6-6 (0.500),Bronco Mendenhall,Mountain West
L,"Sat, October 22",23 - 49,Notre Dame,"Notre Dame Stadium - Notre Dame, IN",2005,6-6 (0.500),Bronco Mendenhall,Mountain West
W,"Sat, October 29",62 - 41,Air Force,"LaVell Edwards Stadium - Provo, UT",2005,6-6 (0.500),Bronco Mendenhall,Mountain West
W,"Sat, November 5",55 - 14,UNLV,"Sam Boyd Stadium - Las Vegas, NV",2005,6-6 (0.500),Bronco Mendenhall,Mountain West
W,"Sat, November 12",35 - 21,Wyoming, ,2005,6-6 (0.500),Bronco Mendenhall,Mountain West
L,"Sat, November 19",34 - 41,Utah,"LaVell Edwards Stadium - Provo, UT",2005,6-6 (0.500),Bronco Mendenhall,Mountain West
L,"Thu, December 22",28 - 35,California,"Pioneer Purevision Las Vegas Bowl - Las Vegas, NV",2005,6-6 (0.500),Bronco Mendenhall,Mountain West
L,"Sat, September 2",13 - 16,Arizona,"Arizona Stadium - Tucson, AZ",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, September 2",13 - 16,Arizona,"Arizona Stadium - Tucson, AZ",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 9",49 - 24,Tulsa,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 9",49 - 24,Tulsa,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, September 16",23 - 30,Boston College,"Alumni Stadium (MA) - Chestnut Hill, MA",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, September 16",23 - 30,Boston College,"Alumni Stadium (MA) - Chestnut Hill, MA",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 23",38 - 0,Utah St,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 23",38 - 0,Utah St,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Thu, September 28",31 - 17,TCU,"Amon G. Carter Stadium - Fort Worth, TX",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Thu, September 28",31 - 17,TCU,"Amon G. Carter Stadium - Fort Worth, TX",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 7",47 - 17,San Diego St,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 7",47 - 17,San Diego St,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 21",52 - 7,UNLV,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 21",52 - 7,UNLV,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 28",33 - 14,Air Force,"Falcon Stadium - Usaf Academy, CO",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 28",33 - 14,Air Force,"Falcon Stadium - Usaf Academy, CO",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 4",24 - 3,Colorado St,"Hughes Stadium (CO) - Fort Collins, CO",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 4",24 - 3,Colorado St,"Hughes Stadium (CO) - Fort Collins, CO",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Thu, November 9",55 - 7,Wyoming,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Thu, November 9",55 - 7,Wyoming,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 18",42 - 17,New Mexico,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 18",42 - 17,New Mexico,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 25",33 - 31,Utah,"Rice-Eccles Stadium - Salt Lake City, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 25",33 - 31,Utah,"Rice-Eccles Stadium - Salt Lake City, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Thu, December 21",38 - 8,Oregon,"Las Vegas Bowl At Las Vegas Nv - Las Vegas, NV",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Thu, December 21",38 - 8,Oregon,"Las Vegas Bowl At Las Vegas Nv - Las Vegas, NV",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, September 2",13 - 16,Arizona,"Arizona Stadium - Tucson, AZ",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, September 2",13 - 16,Arizona,"Arizona Stadium - Tucson, AZ",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 9",49 - 24,Tulsa,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 9",49 - 24,Tulsa,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, September 16",23 - 30,Boston College,"Alumni Stadium (MA) - Chestnut Hill, MA",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, September 16",23 - 30,Boston College,"Alumni Stadium (MA) - Chestnut Hill, MA",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 23",38 - 0,Utah St,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 23",38 - 0,Utah St,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Thu, September 28",31 - 17,TCU,"Amon G. Carter Stadium - Fort Worth, TX",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Thu, September 28",31 - 17,TCU,"Amon G. Carter Stadium - Fort Worth, TX",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 7",47 - 17,San Diego St,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 7",47 - 17,San Diego St,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 21",52 - 7,UNLV,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 21",52 - 7,UNLV,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 28",33 - 14,Air Force,"Falcon Stadium - Usaf Academy, CO",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 28",33 - 14,Air Force,"Falcon Stadium - Usaf Academy, CO",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 4",24 - 3,Colorado St,"Hughes Stadium (CO) - Fort Collins, CO",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 4",24 - 3,Colorado St,"Hughes Stadium (CO) - Fort Collins, CO",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Thu, November 9",55 - 7,Wyoming,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Thu, November 9",55 - 7,Wyoming,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 18",42 - 17,New Mexico,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 18",42 - 17,New Mexico,"LaVell Edwards Stadium - Provo, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 25",33 - 31,Utah,"Rice-Eccles Stadium - Salt Lake City, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 25",33 - 31,Utah,"Rice-Eccles Stadium - Salt Lake City, UT",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Thu, December 21",38 - 8,Oregon,"Las Vegas Bowl At Las Vegas Nv - Las Vegas, NV",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Thu, December 21",38 - 8,Oregon,"Las Vegas Bowl At Las Vegas Nv - Las Vegas, NV",2006,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 1",20 - 7,Arizona,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 1",20 - 7,Arizona,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, September 8",17 - 27,UCLA,"Rose Bowl - Pasadena, CA",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, September 8",17 - 27,UCLA,"Rose Bowl - Pasadena, CA",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, September 15",47 - 55,Tulsa, ,2007,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, September 15",47 - 55,Tulsa, ,2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 22",31 - 6,Air Force,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 22",31 - 6,Air Force,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 29",31 - 24,New Mexico,"Dreamstyle Stadium - Albuquerque, NM",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 29",31 - 24,New Mexico,"Dreamstyle Stadium - Albuquerque, NM",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 13",24 - 14,UNLV,"Sam Boyd Stadium - Las Vegas, NV",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 13",24 - 14,UNLV,"Sam Boyd Stadium - Las Vegas, NV",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 20",42 - 7,Eastern Washington,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 20",42 - 7,Eastern Washington,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 3",35 - 16,Colorado St,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 3",35 - 16,Colorado St,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Thu, November 8",27 - 22,TCU,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Thu, November 8",27 - 22,TCU,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 17",35 - 10,Wyoming, ,2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 17",35 - 10,Wyoming, ,2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 24",17 - 10,Utah,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 24",17 - 10,Utah,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, December 1",48 - 27,San Diego St,"Qualcomm Stadium - San Diego, CA",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, December 1",48 - 27,San Diego St,"Qualcomm Stadium - San Diego, CA",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, December 22",17 - 16,UCLA,"Pioneer Las Vegas Bowl At Las Vegas Nv - Las Vegas, NV",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, December 22",17 - 16,UCLA,"Pioneer Las Vegas Bowl At Las Vegas Nv - Las Vegas, NV",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 1",20 - 7,Arizona,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 1",20 - 7,Arizona,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, September 8",17 - 27,UCLA,"Rose Bowl - Pasadena, CA",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, September 8",17 - 27,UCLA,"Rose Bowl - Pasadena, CA",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, September 15",47 - 55,Tulsa, ,2007,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, September 15",47 - 55,Tulsa, ,2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 22",31 - 6,Air Force,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 22",31 - 6,Air Force,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 29",31 - 24,New Mexico,"Dreamstyle Stadium - Albuquerque, NM",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 29",31 - 24,New Mexico,"Dreamstyle Stadium - Albuquerque, NM",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 13",24 - 14,UNLV,"Sam Boyd Stadium - Las Vegas, NV",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 13",24 - 14,UNLV,"Sam Boyd Stadium - Las Vegas, NV",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 20",42 - 7,Eastern Washington,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 20",42 - 7,Eastern Washington,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 3",35 - 16,Colorado St,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 3",35 - 16,Colorado St,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Thu, November 8",27 - 22,TCU,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Thu, November 8",27 - 22,TCU,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 17",35 - 10,Wyoming, ,2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 17",35 - 10,Wyoming, ,2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 24",17 - 10,Utah,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 24",17 - 10,Utah,"LaVell Edwards Stadium - Provo, UT",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, December 1",48 - 27,San Diego St,"Qualcomm Stadium - San Diego, CA",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, December 1",48 - 27,San Diego St,"Qualcomm Stadium - San Diego, CA",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, December 22",17 - 16,UCLA,"Pioneer Las Vegas Bowl At Las Vegas Nv - Las Vegas, NV",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, December 22",17 - 16,UCLA,"Pioneer Las Vegas Bowl At Las Vegas Nv - Las Vegas, NV",2007,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, August 30",41 - 17,Northern Iowa,"LaVell Edwards Stadium - Provo, UT",2008,10-3 (0.769),Bronco Mendenhall,Mountain West
W,"Sat, September 6",28 - 27,Washington,"Husky Stadium - Seattle, WA",2008,10-3 (0.769),Bronco Mendenhall,Mountain West
W,"Sat, September 13",59 - 0,UCLA,"LaVell Edwards Stadium - Provo, UT",2008,10-3 (0.769),Bronco Mendenhall,Mountain West
W,"Sat, September 20",44 - 0,Wyoming,"LaVell Edwards Stadium - Provo, UT",2008,10-3 (0.769),Bronco Mendenhall,Mountain West
W,"Fri, October 3",34 - 14,Utah St,"Romney Stadium - Logan, UT",2008,10-3 (0.769),Bronco Mendenhall,Mountain West
W,"Sat, October 11",21 - 3,New Mexico,"LaVell Edwards Stadium - Provo, UT",2008,10-3 (0.769),Bronco Mendenhall,Mountain West
L,"Thu, October 16",7 - 32,TCU,"Amon G. Carter Stadium - Fort Worth, TX",2008,10-3 (0.769),Bronco Mendenhall,Mountain West
W,"Sat, October 25",42 - 35,UNLV,"LaVell Edwards Stadium - Provo, UT",2008,10-3 (0.769),Bronco Mendenhall,Mountain West
W,"Sat, November 1",45 - 42,Colorado St,"Hughes Stadium (CO) - Fort Collins, CO",2008,10-3 (0.769),Bronco Mendenhall,Mountain West
W,"Sat, November 8",41 - 12,San Diego St,"LaVell Edwards Stadium - Provo, UT",2008,10-3 (0.769),Bronco Mendenhall,Mountain West
W,"Sat, November 15",38 - 24,Air Force,"Falcon Stadium - Usaf Academy, CO",2008,10-3 (0.769),Bronco Mendenhall,Mountain West
L,"Sat, November 22",24 - 48,Utah,"Rice-Eccles Stadium - Salt Lake City, UT",2008,10-3 (0.769),Bronco Mendenhall,Mountain West
L,"Sat, December 20",21 - 31,Arizona,"Pioneer Las Vegas Bowl - Las Vegas, NV",2008,10-3 (0.769),Bronco Mendenhall,Mountain West
W,"Sat, September 5",14 - 13,Oklahoma,"Arlington, TX",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 5",14 - 13,Oklahoma,"Arlington, TX",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 12",54 - 3,Tulane,"Mercedes-Benz Superdome - New Orleans, LA",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 12",54 - 3,Tulane,"Mercedes-Benz Superdome - New Orleans, LA",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, September 19",28 - 54,Florida St,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, September 19",28 - 54,Florida St,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 26",42 - 23,Colorado St,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 26",42 - 23,Colorado St,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Fri, October 2",35 - 17,Utah St,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Fri, October 2",35 - 17,Utah St,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 10",59 - 21,UNLV,"Sam Boyd Stadium - Las Vegas, NV",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 10",59 - 21,UNLV,"Sam Boyd Stadium - Las Vegas, NV",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 17",38 - 28,San Diego St,"Qualcomm Stadium - San Diego, CA",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 17",38 - 28,San Diego St,"Qualcomm Stadium - San Diego, CA",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, October 24",7 - 38,TCU,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, October 24",7 - 38,TCU,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 7",52 - 0,Wyoming,"War Memorial Stadium (WY) - Laramie, WY",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 7",52 - 0,Wyoming,"War Memorial Stadium (WY) - Laramie, WY",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 14",24 - 19,New Mexico,"Dreamstyle Stadium - Albuquerque, NM",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 14",24 - 19,New Mexico,"Dreamstyle Stadium - Albuquerque, NM",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 21",38 - 21,Air Force,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 21",38 - 21,Air Force,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 28",26 - 23,Utah,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 28",26 - 23,Utah,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Tue, December 22",44 - 20,Oregon St,"Maaco Bowl Las Vegas - Las Vegas, NV",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Tue, December 22",44 - 20,Oregon St,"Maaco Bowl Las Vegas - Las Vegas, NV",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 5",14 - 13,Oklahoma,"Arlington, TX",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 5",14 - 13,Oklahoma,"Arlington, TX",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 12",54 - 3,Tulane,"Mercedes-Benz Superdome - New Orleans, LA",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 12",54 - 3,Tulane,"Mercedes-Benz Superdome - New Orleans, LA",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, September 19",28 - 54,Florida St,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, September 19",28 - 54,Florida St,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 26",42 - 23,Colorado St,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 26",42 - 23,Colorado St,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Fri, October 2",35 - 17,Utah St,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Fri, October 2",35 - 17,Utah St,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 10",59 - 21,UNLV,"Sam Boyd Stadium - Las Vegas, NV",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 10",59 - 21,UNLV,"Sam Boyd Stadium - Las Vegas, NV",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 17",38 - 28,San Diego St,"Qualcomm Stadium - San Diego, CA",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, October 17",38 - 28,San Diego St,"Qualcomm Stadium - San Diego, CA",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, October 24",7 - 38,TCU,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
L,"Sat, October 24",7 - 38,TCU,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 7",52 - 0,Wyoming,"War Memorial Stadium (WY) - Laramie, WY",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 7",52 - 0,Wyoming,"War Memorial Stadium (WY) - Laramie, WY",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 14",24 - 19,New Mexico,"Dreamstyle Stadium - Albuquerque, NM",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 14",24 - 19,New Mexico,"Dreamstyle Stadium - Albuquerque, NM",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 21",38 - 21,Air Force,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 21",38 - 21,Air Force,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 28",26 - 23,Utah,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, November 28",26 - 23,Utah,"LaVell Edwards Stadium - Provo, UT",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Tue, December 22",44 - 20,Oregon St,"Maaco Bowl Las Vegas - Las Vegas, NV",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Tue, December 22",44 - 20,Oregon St,"Maaco Bowl Las Vegas - Las Vegas, NV",2009,11-2 (0.846),Bronco Mendenhall,Mountain West
W,"Sat, September 4",23 - 17,Washington,"LaVell Edwards Stadium - Provo, UT",2010,7-6 (0.539),Bronco Mendenhall,Mountain West
L,"Sat, September 11",14 - 35,Air Force,"Falcon Stadium - Usaf Academy, CO",2010,7-6 (0.539),Bronco Mendenhall,Mountain West
L,"Sat, September 18",10 - 34,Florida St,"Doak Campbell Stadium - Tallahassee, FL",2010,7-6 (0.539),Bronco Mendenhall,Mountain West
L,"Sat, September 25",13 - 27,Nevada,"LaVell Edwards Stadium - Provo, UT",2010,7-6 (0.539),Bronco Mendenhall,Mountain West
L,"Fri, October 1",16 - 31,Utah St,"Romney Stadium - Logan, UT",2010,7-6 (0.539),Bronco Mendenhall,Mountain West
W,"Sat, October 9",24 - 21,San Diego St,"LaVell Edwards Stadium - Provo, UT",2010,7-6 (0.539),Bronco Mendenhall,Mountain West
L,"Sat, October 16",3 - 31,TCU,"Amon G. Carter Stadium - Fort Worth, TX",2010,7-6 (0.539),Bronco Mendenhall,Mountain West
W,"Sat, October 23",25 - 20,Wyoming,"LaVell Edwards Stadium - Provo, UT",2010,7-6 (0.539),Bronco Mendenhall,Mountain West
W,"Sat, November 6",55 - 7,UNLV,"LaVell Edwards Stadium - Provo, UT",2010,7-6 (0.539),Bronco Mendenhall,Mountain West
W,"Sat, November 13",49 - 10,Colorado St,"Hughes Stadium (CO) - Fort Collins, CO",2010,7-6 (0.539),Bronco Mendenhall,Mountain West
W,"Sat, November 20",40 - 7,New Mexico,"LaVell Edwards Stadium - Provo, UT",2010,7-6 (0.539),Bronco Mendenhall,Mountain West
L,"Sat, November 27",16 - 17,Utah,"Rice-Eccles Stadium - Salt Lake City, UT",2010,7-6 (0.539),Bronco Mendenhall,Mountain West
W,"Sat, December 18",52 - 24,UTEP,"New Mexico Bowl - Albuquerque, NM",2010,7-6 (0.539),Bronco Mendenhall,Mountain West
W,"Sat, September 3",14 - 13,Ole Miss,"Vaught-Hemingway Stadium - Oxford, MS",2011,10-3 (0.769),Bronco Mendenhall,FBS Independents
L,"Sat, September 10",16 - 17,Texas,"Royal Texas Memorial Stadium - Austin, TX",2011,10-3 (0.769),Bronco Mendenhall,FBS Independents
L,"Sat, September 17",10 - 54,Utah,"LaVell Edwards Stadium - Provo, UT",2011,10-3 (0.769),Bronco Mendenhall,FBS Independents
